Year,Establishment,State,Total Current Penalty,Industry,Description of Event
2020,"PLANTEL NURSERIES, INC.",CA,750,Nursery and Tree Production,"At 3:25 p.m. on May 15, 2020, an employee was working at a nursery. He wasworking on metal pallets. Several coworkers saw him walking toward his work.He felt pain, and his manager asked him to sit down and relax. The managerasked if the employee wanted emergency services called. The employee stated""""yes"""" and collapsed. Emergency medical technicians could not revive theemployee at the site. He died from a possible heart attack or cardiac arrest."
2020,SUN FRESH HARVESTING INC.,CA,25250,Farm Labor Contractors and Crew Leaders,"At 12:00 p.m. on June 25, 2020, Employee # 1 was picking peaches. Hecomplained to some coworkers that he did not feel well.  Witnesses said he wasacting strange.  Some employees interviewed said he was hitting their cars.One coworker, his cousin, who was also working for the employer, went to lookfor him. He found Employee # 1 unresponsive a short time later. Employee # 1was taken to the hospital in a personal vehicle by one of the coworkers. Hedied at the hospital of heat stroke, complicated by meth use, confirmed by theCoroner. The official cause of death was """"methamphetamine toxicity"""". Employee# 1 was not accustomed to the heat, he had been released from prison two daysbefore. He had not been trained in heat-related illness prevention. Thesupervisor was not actively monitoring the weather and had not monitoredEmployee # 1. No high heat provisions were implemented by the supervisor.  Itwas also reported in interviews that breaks and frequent drinking of waterwere not encouraged."
2020,111124 - D-K HARVESTING INC,IN,0,"Crop Harvesting, Primarily by Machine","On July 7, 2020, an employee was working for a firm that harvested crops,primarily by machine. He had not been provided by a temporary staffing agency,and this was not a multi-employer worksite. He had been detasseling corn forapproximately five hours, when he came out of the field feeling dizzy. He wasseated in the shade and given fluids that contained electrolytes. When he wasfeeling better, the two coworkers with him left to return to work. Theemployee was found lying on the floor of the company bus about ten minuteslater. He was now only partially conscious. Coworkers called emergency medicalservices and worked to cool him down and provide him with fluids. The employeewent into cardiac arrest in the hospital and died."
2020,145916 - FLORIDA ORANGE GOLD LLC,NC,7000,Farm Labor Contractors and Crew Leaders,"At 12:00 a.m. on July 18, 2020, an employee was exposed to conditions of highambient heat from the sun while performing hand labor such as pulling weeds ina sweet potato field.  The employee was exposed to above the AmericanConference of Governmental Industrial Hygienists (ACGIH) Threshold Limit Value(TLV).   During the working hours, the wet-bulb globe temperature (WBGT) wascalculated to be between 28.3 to 33.4 Celsius.  The employee was killed as aresult of excess heat exposure."
2020,"145963 - J-J THOMPSON FARMS, INC.",NC,3250,Tobacco Farming,"At 12:00 a.m. on July 27, 2020, an employee was exposed to conditions of highambient heat from the sun while performing hand labor such astopping/suckering and hand harvesting tobacco.  The employee was exposed abovethe American Conference of Governmental Industrial Hygienists (ACGIH)Threshold Limit Value (TLV).  The TLV calculated for this day using theemployee's metabolic work rate (415 watts) was 27.5 Celsius.  During theworking hours, the wet-bulb globe temperature (WBGT) was calculated to bebetween 27.5 to 31.4 Celsius.  The employee is killed as a result of excessheat exposure."
2019,"P & L HARVESTING, LLC",FL,13260,Farm Labor Contractors and Crew Leaders,"At 2;30 p.m. on April 12, 2019, an employee was picking oranges as part of awork crew.  The employee reported being tired and then dizzy.  The employeedrank a soda before fainting and experienced visible signs of respiratorydistress.  Emergency Services responded and transported the employee to thehospital, where he died from heat stroke."
2019,"M. GUTIERREZ HARVESTING, LLC",GA,16433,"Crop Harvesting, Primarily by Machine","At 12:00 p.m. on June 22, 2019, an employee was covering boxes of produce thathad been harvested. As the employee was covering the boxes he stated he didn'tfeel well and returned to the transportation bus to obtain water. He was foundunresponsive by another employee some time later. The employee died from aheat stroke."
2019,"WADDELL GROWERS, LLC",AZ,400,All Other Miscellaneous Crop Farming,"At 5:30 p.m. on July 26, 2019, Employee #1 was inspecting and unclogging aneight inch irrigation piping in 108 degree weather, over a 40-acre farm. Atapproximately 3:30 p.m., his employer noticed his appearance of exhaustion andtold him to take a break. The employee got into his 2003 Ford F150 Triton V8work truck with the windows down. He did not turn on the air conditioning,although it was in working order. At 5:30 p.m., he was found unresponsive bycoworkers.  Employee #1 seemed to have suffered complications from heatexposure and died."
2019,"RAMAGOS FARMS, INC",LA,6612.2,Sugarcane Farming,"At 12:15 p.m. on August 5, 2019, several employees were harvesting sugar canewhile walking behind a tractor. The employees decided to take a break.Employee #1 fainted from the heat and could not be resuscitated. He died froma probable heat stroke."
2018,"CLANTON FARMS, LLC",AR,10000,Other Vegetable (except Potato) and Melon Farming,"At 11:00 a.m. on June 19, 2018, Employee #1 was picking squash on 30 acretract of farm land. Later in the day, the foreman noticed that the employeewas not feeling well, and instructed him to get in the work van. About 15minutes later, the foreman went back to check on Employee #1 and he seemdisoriented. The foreman sat the employee down and put ice on his head. Theforeman called the main office to report the incident and took Employee #1 toa nearby hospital. Upon arriving at the medical facility, the employee wasdiagnosed with heat exhaustion, and was flown to another medical facility thatevening, where he remained until his death from complications of a heatstroke."
